msg.timestamp,msg.id,msg.type,sensor.cmd,sensor.task,sensor.rank,sensor.pid,sensor.tid,sensor.value
1689283350.6701953,18053c7d-9d8b-47ee-84a8-c8f49a1c1e2a,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283350.772181,2eff1a8f-63d6-43f5-812b-0da7375dabd1,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,4
1689283350.8778856,4b4a4731-1576-4455-b2e8-fe32a48479ec,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283350.9853954,ee940755-bb44-48e0-9c44-ea772bda0297,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283351.092469,e2124800-cf14-4499-abb6-93e0d164e0ba,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283351.2072177,79a95c33-07d5-4b3b-8d1f-4487967a270c,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283351.326798,cc4adf01-be6b-4449-ab99-8530dab8ce9c,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283351.4331934,5bd714fc-0181-4445-837a-2c1c32c1ba89,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283351.5386422,1149abda-52ac-4116-82d3-371fa8a3c3cd,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283351.6508482,13b04364-9047-402c-86b0-854fe09836bc,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283351.7535534,292df92a-1678-44d5-b699-0fe5fe3aac1f,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,4
1689283351.8600452,7f4ac78e-3780-46d1-9735-cda63de09c62,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283351.9675736,fbd2e019-82cf-4878-9d17-d85ef53c2d40,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283352.0763783,4dc92894-c13f-40fd-8fb6-d82c5359edfc,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283352.1863515,c30e1cc3-4683-40a5-adc4-d1d39498237b,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283352.293137,41424b6d-3509-44bd-a2ba-77147a922432,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283352.3984451,b34904a3-9d8e-4a1c-af08-f5224a4e88be,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283352.5059464,ce5ea79a-677c-4713-a950-fcb8b91b2057,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283352.6126635,1acd3f62-a036-454a-9db3-8b185358215b,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283352.718712,05f197ae-1559-4e21-b6f9-81e6c9a3b0f4,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283352.8294113,7de5d1ad-a6e2-4fc1-b28e-398d552eba3d,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283352.935993,22013b30-5aea-4c4e-8651-17fbb86df158,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283353.044329,cb696ab3-29c7-4c74-b531-f1f4f40d6aa8,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283353.1499803,55657f09-b937-438d-9fcd-168a053eb113,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283353.2610788,58b815ae-73e4-450a-b3fb-795f4611d218,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283353.3664062,2c8ec76e-12d9-49c0-8944-c2867aa83e80,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283353.4731567,13971197-38fd-415b-a235-c62cb603c63b,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283353.5789003,e0736ea6-92cc-478c-9777-f871e8584d4a,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283353.6853414,7bf9cc18-684f-4dbd-8690-effa86cc3e85,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283353.7951717,e2c6b96f-7b43-45ee-8ba7-7a1b57baf8a6,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283353.9033349,3e279ee2-dc6d-4a98-8428-902d14ab2385,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283354.01258,0a9e71db-78ce-4d30-b185-66cc8bdde4ad,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
